alg,totalTime,genOmegaTime,dgemm1Time,dgemm2Time,all2allTime,reduceScatterTime,reduceScatter1Time,reduceScatter2Time,unpackTime,packTime
Algo-1Dred-4,1.2856229333333333,0.041149333333333336,0.9935368666666665,0.10895280000000002,0.09942513333333335,0.0,0.0,0.0,0.008921666666666666,0.0
Algo-1Dred-8,0.9858011000000001,0.05868840000000001,0.757598,0.0769871,0.051927900000000006,0.0,0.0,0.0,0.010463999999999998,0.0
Algo-1Dred-16,0.6346806,0.07423439999999999,0.39698930000000004,0.037973099999999996,0.0497373,0.0,0.0,0.0,0.014691200000000001,0.0
Algo-1Dred-32,0.4763122,0.0753405,0.21332460000000003,0.0236397,0.0438808,0.0,0.0,0.0,0.024046099999999997,0.0
Algo-1Dred-64,0.3896521,0.0833791,0.12876989999999996,0.0151179,0.06224890000000001,0.0,0.0,0.0,0.020023900000000004,0.0
Algo-1Dred-128,0.41033379999999997,0.0882574,0.0820525,0.0079725,0.0728171,0.0,0.0,0.0,0.0421845,0.0
Algo-1Dnored-4,1.3922081333333334,0.04059586666666667,0.9973713333333334,0.12137986666666664,0.0,0.09394893333333335,0.0,0.0,0.0,0.0
Algo-1Dnored-8,1.1996305,0.05044269999999999,0.7582644999999999,0.0960524,0.0,0.1547122,0.0,0.0,0.0,0.0
Algo-1Dnored-16,0.8311849,0.0523896,0.39685590000000004,0.0381607,0.0,0.1732256,0.0,0.0,0.0,0.0
Algo-1Dnored-32,1.068982,0.07966789999999999,0.21509779999999998,0.030677799999999998,0.0,0.2081883,0.0,0.0,0.0,0.0
Algo-1Dnored-64,1.2898711,0.0866081,0.1286483,0.0106023,0.0,0.2376769,0.0,0.0,0.0,0.0
Algo-1Dnored-128,2.0321173000000003,0.0868512,0.08174669999999999,0.010953300000000001,0.0,0.28335540000000004,0.0,0.0,0.0,0.0
