alg,totalTime,genOmegaTime,dgemm1Time,dgemm2Time,all2allTime,reduceScatterTime,reduceScatter1Time,reduceScatter2Time,unpackTime,packTime
Algo-1Dred-4,22.657209299999998,0.1989166,17.572038300000003,2.3665770999999998,0.12862500000000002,0.0,0.0,0.0,0.05082299999999999,0.0
Algo-1Dred-8,9.3792235,0.23852290000000004,8.1198303,0.9338312999999999,0.0460183,0.0,0.0,0.0,0.0298852,0.0
Algo-1Dred-16,5.1026912,0.2646689,4.342041,0.44445670000000004,0.0260762,0.0,0.0,0.0,0.0158146,0.0
Algo-1Dred-32,2.8430728000000003,0.2710560000000001,2.2638942,0.2641791,0.0199036,0.0,0.0,0.0,0.009972499999999999,0.0
Algo-1Dred-64,1.7254835,0.27493049999999997,1.1999752,0.2170247,0.015690000000000003,0.0,0.0,0.0,0.0071668999999999995,0.0
Algo-1Dred-128,1.2708689999999998,0.2986026,0.7059160999999999,0.2270043,0.019881,0.0,0.0,0.0,0.0036846000000000005,0.0
Algo-1Dnored-4,21.8278303,0.2084611,17.5612506,1.6973685999999997,0.0,0.0451048,0.0,0.0,0.0,0.0
Algo-1Dnored-8,9.2961959,0.23557780000000003,8.1079654,0.8901976999999999,0.0,0.0516162,0.0,0.0,0.0,0.0
Algo-1Dnored-16,5.1285925,0.2528964,4.3427907999999995,0.47251829999999995,0.0,0.0462644,0.0,0.0,0.0,0.0
Algo-1Dnored-32,2.8951322,0.26843490000000003,2.2688697,0.2909467,0.0,0.0527215,0.0,0.0,0.0,0.0
Algo-1Dnored-64,1.7855288000000002,0.3030043,1.2123578,0.18463229999999997,0.0,0.0666898,0.0,0.0,0.0,0.0
Algo-1Dnored-128,1.2375045999999998,0.28817919999999997,0.6927738999999999,0.1577658,0.0,0.0768431,0.0,0.0,0.0,0.0
