proc,1DredCPU,1DnoredCPU,1DredGPU,1DnoredGPU
4,20.31698,19.5121851,1.2519858,1.253296
8,9.368088,9.2853571,0.9556654,1.0594718
16,5.0930574,5.1144699,0.5736253,0.6606318
32,2.8290054,2.8809728,0.3802317,0.5336318
64,1.7147873,1.7666842,0.3095397,0.4635356
128,1.2550886,1.215562,0.293284,0.4629066
