alg,totalTime,genOmegaTime,dgemm1Time,dgemm2Time,all2allTime,reduceScatterTime,reduceScatter1Time,reduceScatter2Time,unpackTime,packTime
Algo-1Dred-4,4.3012576,0.0469369,1.7239261,0.043036000000000005,0.023505499999999995,0.0,0.0,0.0,0.0065402,0.0
Algo-1Dred-8,1.028197,0.09198379999999999,0.8807510000000001,0.0342534,0.006976100000000001,0.0,0.0,0.0,0.0046201,0.0
Algo-1Dred-16,0.6403649,0.1081578,0.4852067000000001,0.0326369,0.005045699999999999,0.0,0.0,0.0,0.0029793,0.0
Algo-1Dred-32,0.44771140000000004,0.11938089999999998,0.2829009,0.028536299999999997,0.005317,0.0,0.0,0.0,0.0026752,0.0
Algo-1Dred-64,0.3599854,0.1292616,0.17991810000000003,0.0306921,0.007967400000000001,0.0,0.0,0.0,0.0044096,0.0
Algo-1Dred-128,0.31421010000000005,0.13718699999999998,0.10864599999999999,0.0364395,0.014949099999999998,0.0,0.0,0.0,0.0062122,0.0
Algo-1Dnored-4,4.113623100000001,0.05749590000000001,1.7238075000000002,0.029462899999999997,0.0,0.0013738,0.0,0.0,0.0,0.0
Algo-1Dnored-8,1.0193311,0.0973761,0.8840396,0.0294315,0.0,0.0015434,0.0,0.0,0.0,0.0
Algo-1Dnored-16,0.6321611,0.10882209999999999,0.48669119999999993,0.027929199999999998,0.0,0.0014666,0.0,0.0,0.0,0.0
Algo-1Dnored-32,0.42577619999999994,0.11073980000000001,0.2850111,0.021653799999999997,0.0,0.0020072999999999996,0.0,0.0,0.0,0.0
Algo-1Dnored-64,0.35710490000000006,0.1398042,0.18208790000000002,0.0150402,0.0,0.0150196,0.0,0.0,0.0,0.0
Algo-1Dnored-128,0.3106547,0.15298859999999997,0.1184965,0.013833499999999999,0.0,0.0150124,0.0,0.0,0.0,0.0
